EBIT,IE,EBIT - IE,WC/TA,TL/TA,EBIT/IE,NOCF/CL,RE/TA,NP/S,EBIT/TA,S/TA,TA(t)/TA(t-1),NP(t)/NP(t-1),R/Not-R
40995222562,23842446048,17152776514,"0,08157244427","0,7245726208","1,719421845","0,1484919964","0,04747636269","0,017052221","0,04567171869","0,9318229685","1,257179355","0,40019129",0
41060012775,23361003006,17699009769,"0,05703036644","0,7832697363","1,757630559","0,05553823748","0,08203088017","0,05367003687","0,05217336816","0,9588643966","0,876767236","0,893615261",0
77110814207,26248992969,50861821238,"0,07288785248","0,7332132491","2,937667525","0,05553823748","0,07678852557","0,05367003687","0,09171999879","0,8975861661","1,068270026","3,177667547",0
62628593772,39533199590,23095394182,"0,1081804253","0,710282056","1,584202504","0,000606421356","0,07503039972","0,02152025527","0,07319774292","0,9485838897","1,017709251","0,431259665",0
119208119331,33263749041,85944370290,"0,6102161829","0,4606799891","3,583724708","0,2717432152","0,1675779507","0,1026861382","0,06621176343","0,3728302678","1,051350061","0,792239157",0
141794931743,31510829843,110284101900,"0,3415771902","0,4263593295","4,499879326","0,05830168068","0,2103917744","0,1247186207","0,07961409159","0,395072011","0,989236386","1,273164909",0
177824576184,36283010813,141541565371,"0,4123724316","0,3389815062","4,901042449","0,8123035556","0,2008449824","0,1111702009","0,0844642773","0,4824369311","1,182082936","1,286676362",0
107280773394,29170083104,78110690290,"0,3447038726","0,3629780859","3,67776715","0,03645257174","0,2114465258","0,05431580518","0,0471054544","0,5022904718","1,08176266","0,550280612",0
835053510222,14029596510,821023913712,"0,5990701514","0,1977433211","59,52085006","1,011931065","0,1730824056","0,1966476759","0,1877578097","0,8444331377","1,072509741","1,169929615",0
876081995473,12080103631,864001891842,"0,6430905176","0,1785582871","72,52272184","0,5971163855","0,1747916354","0,1939174986","0,1897239772","0,8669250331","1,038260278","1,051116123",0
1112172013902,12558694966,1099613318936,"0,6592710274","0,169624219","88,55792874","1,110590074","0,1970448135","0,2113882083","0,2151957971","0,9047692078","1,119220465","1,273314451",0
1188703890146,29529505062,1159174385084,"0,5650872266","0,2058006467","40,25478543","0,2019531925","0,1768393613","0,209487518","0,1945354562","0,8207865478","1,182324635","1,062934615",0
224940408689,374528767,224565879922,"0,7469436873","0,1015112506","600,5958113","0,3035515769","0,1226348034","0,1236507682","0,1536496611","0,9917835945","0,954946061","0,771747654",0
199204330481,,199204330481,"0,7189459199","0,1577332999",,"0,6352164511","0,09820990077","0,1063016659","0,122825264","0,923879226","1,107835291","0,887190185",0
250198432053,,250198432053,"0,6639257809","0,2059147879",,"0,7234188606","0,1088565549","0,125618446","0,1361270644","0,8665650494","1,133258632","1,256111955",0
229174765582,,229174765582,"0,7263781082","0,1777301302",,"0,4536272185","0,09914350429","0,1066488464","0,1239341472","0,9296256604","1,006087397","0,91631625",0
260849075803,5407738374,255441337429,"0,3029128609","0,1745656605","48,23626029","0,2108580781","0,09789703661","0,1531280511","0,1244238691","0,6532081731","1,134952587","1,291342797",0
244355405170,5496312950,238859092220,"0,334554194","0,218019844","44,45805896","0,57478973","0,08603493","0,149293673","0,106486851","0,551966081","1,094561993","0,90175341",0
295198730222,3794587782,291404142440,"0,31667725","0,167986893","77,79467683","0,989821419","0,116228249","0,135997707","0,129646924","0,721891635","0,992261871","1,182159578",0
383309119488,6036185387,377272934101,"0,375780723","0,128744572","63,5018799","-0,128344779","0,183939041","0,150225908","0,160205087","0,83341314","1,050801254","1,340053592",0
138268059343,5490209612,132777849731,"0,306301505","0,383568152","25,1844773","0,284018711","0,13040585","0,106574287","0,119959285","0,837731809","0,976774936","1,016379574",0
164059594378,4819069185,159240525193,"0,320378292","0,399916758","34,04383462","0,389518359","0,136704894","0,109779796","0,132498406","0,907549226","1,074244111","1,198776304",0
180849150346,925196934,179923953412,"0,435251909","0,300315382","195,4709789","0,097842443","0,11382213","0,121536733","0,145117606","0,940130679","1,006480553","1,154273063",0
155657821104,334548651,155323272453,"0,440922029","0,298739798","465,2770849","0,686916419","0,105445017","0,121723947","0,123457494","0,797009923","1,011712517","0,859015685",0
25061351015,14613571177,10447779838,"0,550930962","0,273766795","1,714936802","-0,009544265","0,402859522","0,013521013","0,023776456","0,578719434","1,030983146","0,92069319",0
37662848636,11451758787,26211089849,"0,561660472","0,26452672","3,288826576","0,020191319","0,416402463","0,028446275","0,035256421","0,664531918","1,013485611","2,448395267",0
42106851627,11570537775,30536313852,"0,604428632","0,253104927","3,639143871","0,132673283","0,426991932","0,034271548","0,039519301","0,654392805","0,997398202","1,183312833",0
28263989550,11761285226,16502704324,"0,652084073","0,214690451","2,403137838","0,216459136","0,453219161","0,029836492","0,027537705","0,395669398","0,963301415","0,507072639",0
278091594345,11442619337,266648975008,"0,349127857","0,289780054","24,30314128","0,798220841","0,079638429","0,113547584","0,168456072","1,156312346","1,050469614","1,270559523",0
336143280259,5433202648,330710077611,"0,383343959","0,257496451","61,86834949","0,66080597","0,110590474","0,12239076","0,196909307","1,26579807","1,034086809","1,220160606",0
379543851810,1087900956,378455950854,"0,435394903","0,239891266","348,8772114","0,568403284","0,133505716","0,122353279","0,208969421","1,320797308","1,063949537","1,109838419",0
364607755566,3940136811,360667618755,"0,421699881","0,298905629","92,53682627","0,453613635","0,132042393","0,124071207","0,171668932","1,082553209","1,169378154","0,971904177",0
72006566325,8839271796,63167294529,"0,311924362","0,392639324","8,146210229","-0,044390886","0,050082895","0,073099527","0,080382577","0,766334371","1,351426102","1,128542145",0
90048367220,12938157642,77110209578,"0,287805787","0,433669891","6,959906481","-0,077102031","0,065932652","0,076674852","0,087290085","0,761299255","1,151597596","1,199986128",0
113859089528,20545537805,93313551723,"0,403822272","0,431503668","5,541791634","0,02324172","0,058278291","0,072979416","0,103302181","0,914354224","1,068432991","1,221388421",0
128127211807,27558626120,100568585687,"0,46966514","0,330572705","4,649259773","0,300843058","0,081586581","0,078698647","0,117177515","0,932206313","0,992062142","1,090695001",0
5959562073,673647525,5285914548,"0,288702224","0,269269833","8,8467067","0,574790989","0,073949368","0,02606301","0,020374876","0,657861314","1,193398611","0,487491846",0
7272721646,1270337720,6002383926,"0,350500851","0,222704479","5,72503007","0,482204595","0,082708655","0,023595668","0,026295639","0,806161836","0,945570426","1,04903382",0
12776176425,1445970145,11330206280,"0,348939659","0,297920352","8,835712459","-0,093018205","0,086954914","0,036042655","0,04090951","0,837941408","1,129180519","1,792830732",0
8751397269,185913951,8565483318,"0,2440777","0,325017669","47,07229996","0,245630137","0,087038424","0,023110744","0,026783879","0,929575399","1,046230307","0,744209839",0
79955788852,53513803301,26441985551,"0,122301536","0,842658502","1,494115236","-0,002123327","0,035376913","0,014907854","0,038568823","0,680526459","1,128832144","1,106346037",0
83131724410,56567910255,26563814155,"0,109913491","0,881151729","1,469591576","-0,127719791","0,031759951","0,011715322","0,028633829","0,614721731","1,400470055","0,994137546",0
81225217035,54758965719,26466251316,"0,319660396","0,643072759","1,483322703","-0,19848016","0,05269928","0,009418575","0,037862738","1,031696611","0,738909939","0,99700175",0
